,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
19631220,-0.29,-0.5,-0.36,-0.15,-0.03,-0.29
19631223,-0.15,-0.14,-0.7,-0.4,-0.51,-0.78
19631224,0.29,0.24,0.45,0.26,-0.1,0.6
19631226,0.8,0.49,0.45,0.53,0.27,0.69
19631227,0.24,0.4,0.1,0.28,0.1,0.18
19631230,-0.6,-0.07,-0.15,-0.24,0.18,0.3
19631231,1.07,0.52,1.42,0.56,0.54,0.56
19640102,1.71,0.99,1.35,1.22,0.23,0.78
19640103,0.61,0.4,0.38,0.39,0.28,0.01
19640106,0.19,0.48,0.26,0.55,0.3,0.02
19640107,0.45,0.46,0.11,0.2,0.25,-0.27
19640108,0.34,0.57,0.27,-0.02,0.34,0.53
19640109,-0.06,0.33,0.1,0,0.08,0.75
19640110,-0.21,0.01,0.03,-0.13,-0.02,-0.08
19640113,0.25,0,0.17,0.34,-0.21,-0.08
19640114,-0.12,0.37,0.1,0.69,0.12,0.13
19640115,0.05,0.15,-0.27,0.17,0.17,0.48
19640116,0.33,-0.29,-0.16,-0.33,0.06,-0.22
19640117,0.3,0.28,0.26,-0.28,-0.05,0.08
19640120,-0.45,-0.05,-0.03,-0.89,0.2,-0.47
19640121,-0.32,0.12,0.11,0.37,0.49,0.16
19640122,0.65,0.03,-0.05,0.36,0.52,0.48
19640123,-0.25,0.16,0.48,0.07,0.07,0.16
19640124,0.5,0.25,0.31,0.06,0,0.03
19640127,-0.38,-0.65,-0.46,0.32,0.08,-0.28
19640128,-0.06,-0.3,-0.09,0.04,0.23,-0.18
19640129,-0.5,-0.46,-0.56,-0.4,-0.54,-0.6
19640130,-0.14,0.17,0.25,-0.79,-0.08,0.5
19640131,-0.03,0.03,0.23,0.24,0.3,0.68
19640203,0.19,0.15,-0.05,0.29,0,-0.06
19640204,-0.37,-0.27,-0.47,-0.05,0.01,-0.16
19640205,0.05,-0.02,0.05,-0.15,-0.05,-0.18
19640206,0.29,0.27,0.27,0.21,0.19,0.32
19640207,0.17,0.56,0.34,0.56,0.23,0.56
19640210,-0.09,0.08,-0.03,-0.36,-0.04,-0.16
19640211,0.25,0.15,0.46,0.21,0.33,0.42
19640212,0.37,0.08,0.39,0.3,0.38,0.21
19640213,0.13,-0.12,0.25,0.04,0.04,0.19
19640214,0.27,0.04,-0.34,-0.09,-0.22,0.13
19640217,0.14,0.33,0.33,-0.02,0.16,-0.04
19640218,-0.21,-0.14,-0.17,-0.02,0.11,-0.05
19640219,-0.09,0.06,0.43,0.17,0.09,0.12
19640220,0.32,0.3,0.29,0.9,-0.18,0.19
19640224,0.23,0.07,0.12,0.05,0.19,0.04
19640225,-0.01,-0.14,-0.06,-0.08,0,0.16
19640226,0.67,0.31,0.65,0.24,0.15,0.5
19640227,-0.05,-0.26,-0.16,-0.39,-0.19,-0.36
19640228,0.37,0.13,0.23,0.32,0.13,0.25
19640302,0.28,0.44,0.24,0.62,0.08,0.25
19640303,-0.11,0.27,-0.33,0,0.35,0.4
19640304,0.08,-0.22,-0.31,0.23,-0.26,-0.28
19640305,0.09,0.17,0.12,0.02,-0.08,-0.01
19640306,0.85,0.64,0.51,0.18,0.21,0.49
19640309,0.28,-0.13,0.23,0.36,-0.28,0.3
19640310,-0.12,0.16,-0.12,0.2,0.1,0.69
19640311,0.31,0.29,-0.07,0.34,0.47,0.5
19640312,0.31,0.04,0.05,0.13,0.22,0.21
19640313,0.43,0.45,0.13,0.23,0.1,0.06
19640316,0.11,-0.01,0.07,-0.1,0.24,-0.11
19640317,0.3,0.09,0.28,0.25,0.18,0.18
19640318,0.13,0.4,0.5,0.94,0.22,-0.23
19640319,-0.17,0.04,0.26,0.01,-0.03,-0.19
19640320,0.06,-0.34,-0.17,-0.29,-0.49,-0.47
19640323,0.32,0.1,0.47,-0.06,0.11,-0.04
19640324,0.12,-0.02,-0.08,-0.11,-0.22,-0.13
19640325,0.93,0.22,0.56,0.48,0.15,0.2
19640326,0.85,0.47,0.28,0.33,0.07,0.41
19640330,-0.08,0.02,-0.31,-0.2,0.02,-0.18
19640331,-0.05,0.13,-0.06,-0.31,-0.06,-0.28
19640401,0.64,0.89,0.51,0.42,0.3,0.36
19640402,0.39,0.51,0.66,0.35,0.66,0.53
19640403,0.2,0.04,0.14,0.08,0.15,0.41
19640406,0.41,0.36,0.07,0.54,-0.05,0.08
19640407,-0.31,-0.15,-0.26,-0.34,-0.09,-0.66
19640408,0.37,0.47,0.67,0.26,-0.04,0.01
19640409,0.13,0.05,0.2,-0.04,-0.1,0.15
19640410,0.35,0.19,0.04,0.34,-0.02,0.34
19640413,-0.25,-0.25,0,-0.02,0.07,-0.25
19640414,-0.37,0.06,0.32,0.07,0.46,0.09
19640415,0.16,0.02,-0.24,0.18,0.24,0.12
19640416,0.02,-0.12,-0.08,0.14,0.29,-0.12
19640417,-0.06,0.27,0.56,0.49,0.59,0.2
19640420,-0.39,-0.25,-0.26,-0.18,0.06,-0.15
19640421,0.04,-0.31,-0.25,0.05,-0.18,0.27
19640422,-0.04,-0.21,-0.48,0.21,-0.06,-0.09
19640423,-0.39,-0.19,-0.84,0.14,-0.21,-0.14
19640424,-1.14,-0.92,-0.85,-0.84,-0.91,-0.5
19640427,-0.43,-0.73,-0.52,-0.12,-0.39,-0.8
19640428,0.72,0.48,0.57,1.1,0.62,0.63
19640429,-0.74,-0.66,-0.74,-0.55,-0.08,-0.62
19640430,-0.54,-0.34,-0.68,-0.08,-0.23,-0.22
19640501,0.88,0.63,0.53,0.77,0.57,1.18
19640504,0.8,0.39,0.58,0.58,0.5,0.35
19640505,0.05,0.22,0.36,0.66,0.55,0.48
19640506,0.13,-0.1,0.2,0.31,0.3,0.18
19640507,0.28,0.2,-0.02,0.21,-0.06,0.25
19640508,-0.28,-0.04,-0.15,0.08,-0.23,-0.19
19640511,0.28,-0.18,0.06,0.07,-0.13,0.1
19640512,0.4,-0.17,0.04,-0.07,0.34,0.55
19640513,-0.32,-0.16,-0.36,-0.43,-0.12,-0.31
19640514,0.08,0.21,0.15,-0.09,-0.15,-0.12
19640515,-0.16,-0.07,0.12,0.25,0.1,0.22
19640518,-0.26,-0.49,-0.4,-0.44,-0.37,-0.34
19640519,-0.31,0.03,0.02,-0.48,-0.37,-0.56
19640520,0.47,-0.06,0.32,0.23,0.35,0.54
19640521,-0.18,-0.03,-0.13,-0.25,0.01,0.19
19640522,0.2,0.25,0.47,0.08,0.12,0
19640525,-0.31,0.02,-0.02,-0.08,-0.07,-0.14
19640526,0.05,-0.02,-0.26,-0.14,-0.12,-0.29
19640527,-0.38,-0.31,-0.46,0.31,-0.14,-0.29
19640528,0.5,0.18,0.31,0.25,0.11,0.17
19640601,-0.24,-0.31,-0.35,-0.22,-0.28,-0.41
19640602,-0.53,-0.66,-0.82,-0.72,-0.47,-0.44
19640603,-0.19,-0.02,-0.57,-0.26,-0.15,-0.29
19640604,-1.28,-1.05,-0.98,-1.04,-0.92,-1.07
19640605,0.48,0.27,0.39,0.32,0.44,0.51
19640608,-0.59,-0.45,-0.4,-0.66,-0.2,-0.7
19640609,0.42,0.39,0.62,0.72,0.28,0.93
19640610,0.28,0.42,0.37,0.17,0.33,0.55
19640611,0.25,0.45,0.25,0.29,0.21,0.53
19640612,-0.11,0.04,0.21,-0.17,-0.3,-0.13
19640615,0.63,0.14,0.8,0.6,0.47,0.49
19640616,0.42,0.63,0.72,0.71,0.5,0.52
19640617,0.76,0.44,0.23,1.06,0.58,0.33
19640618,0.17,0.06,0,0.07,0.15,-0.2
19640619,0.21,0.1,0.1,-0.01,0.13,0.18
19640622,0.33,0.15,-0.01,0.46,0.38,0.06
19640623,-0.35,0.22,0.11,-0.4,-0.29,-0.61
19640624,0.3,0.41,0.45,0.62,0.35,0.27
19640625,0.18,0.14,0.25,0.09,0.49,-0.15
19640626,0.72,0.64,0.37,0.28,0.3,0.21
19640629,-0.13,0.28,0.21,0,0.52,-0.12
19640630,-0.29,-0.05,0.08,-0.11,0.04,0.12
19640701,0.75,0.46,0.43,0.75,0.64,0.56
19640702,0.42,0.55,0.31,0.34,0.28,0.53
19640706,0.12,0.38,0.31,0.09,0.59,0.4
19640707,-0.07,0.2,-0.03,-0.16,0.24,0.23
19640708,0.12,0.09,0.14,0.19,-0.04,0.07
19640709,0.56,0.57,0.26,0.33,0.07,0.13
19640710,0.21,0.32,0.29,0.19,-0.05,0.43
19640713,-0.12,0.22,0.19,0.03,-0.3,0.15
19640714,0.24,-0.09,-0.34,-0.19,-0.39,-0.27
19640715,0.32,0.17,0.53,0.12,0.42,0.45
19640716,0.15,0.31,-0.14,0.62,0.16,0.44
19640717,0.24,0.23,0.47,0.34,0.35,0.62
19640720,-0.17,-0.06,-0.11,-0.16,-0.18,-0.54
19640721,-0.12,-0.01,-0.19,-0.32,-0.19,-0.12
19640722,0.19,-0.17,0.18,0.01,-0.1,0.19
19640723,0.2,-0.01,0.14,-0.11,-0.05,-0.01
19640724,0.12,-0.09,0.14,-0.12,0.14,-0.18
19640727,-0.56,-0.41,-0.62,-0.5,-0.48,-0.46
19640728,-0.18,-0.04,-0.01,-0.56,-0.08,-0.33
19640729,-0.13,0.02,0.42,0.35,0.03,0.2
19640730,0.04,-0.07,-0.03,0.49,0.29,-0.05
19640731,0.48,0.13,-0.05,0.01,0.22,0.01
19640803,-0.66,-0.22,-0.35,0,-0.27,-0.24
19640804,-1.34,-1.11,-1.47,-1.15,-0.87,-1.38
19640805,0.04,-0.36,-0.19,0.24,0.12,0.39
19640806,-0.43,-0.64,-0.51,-1.27,-0.92,-0.82
19640807,0.47,0.55,0.48,0.64,0.57,0.65
19640810,0.13,-0.03,0.19,0.18,0.02,-0.01
19640811,0.21,0.3,-0.09,0.12,0.05,-0.1
19640812,0.68,0.62,0.74,0.52,0.45,0.56
19640813,0.55,0.3,0.42,0.19,0.24,0.34
19640814,0.05,0.06,0.1,0.05,-0.09,-0.18
19640817,0.02,-0.11,-0.1,-0.27,0,0.13
19640818,-0.04,0.08,0.06,0.14,-0.01,0.14
19640819,-0.03,-0.09,-0.01,-0.2,0.05,-0.17
19640820,-0.57,-0.41,-0.42,-0.41,-0.19,-0.72
19640821,0.21,0.26,0.32,-0.09,0.16,0.22
19640824,0.11,-0.04,0.08,0.28,-0.24,-0.31
19640825,-0.59,-0.43,-0.39,-0.65,-0.33,-0.63
19640826,-0.05,-0.12,-0.22,-0.08,-0.09,-0.21
19640827,0.24,0.36,0.23,0.3,0.29,0.86
19640828,0.33,0.14,0.42,0.38,0.07,0.63
19640831,0.05,0,0.42,-0.05,-0.11,-0.34
19640901,0.26,0.54,0.56,0.77,0.22,0.64
19640902,0.51,0.71,0.23,0.4,0.11,0.16
19640903,-0.04,0.02,0.26,0.05,0.2,0.45
19640904,0.16,0.32,0.19,0.39,0.18,0.19
19640908,0.23,0.12,0.25,0.25,0.2,0.09
19640909,0.19,0.15,0.27,0.31,0.12,0.3
19640910,-0.14,0.21,0.22,0.11,0.1,0.09
19640911,0.38,0.14,0.24,0.44,0.31,0.38
19640914,-0.33,-0.09,0,0.19,-0.26,-0.35
19640915,-0.09,-0.45,0,-0.55,-0.25,-0.11
19640916,0.39,0.01,0.34,0.05,0.33,0.29
19640917,0.32,0.3,0.45,0.68,0.64,0.62
19640918,-0.2,-0.26,-0.23,-0.37,-0.27,-0.39
19640921,0.71,0.23,-0.01,0.56,0.34,0.48
19640922,0.07,0.23,0.08,0.31,0.01,0.03
19640923,0.17,0.22,-0.13,0.1,-0.06,0.07
19640924,0.2,-0.15,-0.03,0.5,0.04,0.16
19640925,0.26,0.36,0.11,0.03,0.3,0.16
19640928,0.16,0.08,-0.2,0.27,0.05,0.05
19640929,-0.16,0.05,0.1,0.02,-0.1,0.08
19640930,0.09,-0.01,0.24,-0.07,-0.04,-0.06
19641001,-0.23,0.03,0.16,-0.23,-0.1,-0.14
19641002,0.14,0.13,-0.03,0.19,0.47,0.11
19641005,0.34,0.39,0.2,0.51,0.44,0.44
19641006,-0.13,-0.13,0.17,-0.01,-0.01,0.09
19641007,0.03,0.03,-0.07,0.05,-0.13,0.05
19641008,0.35,0.19,0.42,0.29,0.1,0.38
19641009,0.37,0.37,0.29,0.42,0.22,0.05
19641012,0.16,0.4,0.67,0.19,0.17,-0.07
19641013,-0.05,-0.16,0.02,-0.13,-0.13,-0.47
19641014,0.09,-0.11,-0.4,-0.02,-0.1,-0.27
19641015,-1.35,-1.04,-1.18,-1.04,-0.49,-0.65
19641016,1.53,0.83,1.08,1.15,0.43,0.8
19641019,0.53,0.49,0.48,0.36,0.15,0.01
19641020,0.25,0.59,0.41,0.21,0.05,0.5
19641021,-0.09,-0.12,0.24,0.08,0.06,-0.19
19641022,-0.17,0.1,0.04,-0.21,-0.05,-0.23
19641023,0.1,0.29,0.19,0.11,0.12,0.37
19641026,0.26,0.19,0.03,0.12,0.06,-0.56
19641027,-0.21,0.07,0.02,-0.08,0.01,-0.04
19641028,-0.76,-0.47,-0.51,-0.28,-0.38,-0.26
19641029,0.05,-0.07,0.15,-0.04,0.19,-0.04
19641030,0.26,0.12,0.58,0.34,0.12,0.22
19641102,0.16,0.19,0.74,0.32,0.51,0.5
19641104,-0.28,0.05,0.06,0.26,-0.18,0.09
19641105,-0.42,-0.13,-0.22,-0.07,0.22,-0.1
19641106,-0.11,-0.01,0.04,0.19,0.42,0.05
19641109,-0.42,-0.16,-0.27,-0.55,0.05,0.12
19641110,-0.38,-0.29,-0.53,-0.57,-0.18,-0.54
19641111,0.26,0.41,0.47,0.49,0.35,0.09
19641112,0.7,0.34,0.33,0.42,0.07,0.19
19641113,0.6,0.1,0.46,0.18,0.04,0.17
19641116,0.24,0.37,0.33,0.6,0.31,0.71
19641117,0.07,0.2,0.2,0.74,0.37,0.54
19641118,-0.09,0.16,0.18,0.38,0.28,0.18
19641119,-0.26,-0.06,0.25,0.09,-0.05,0.08
19641120,0.17,0.44,-0.15,0.19,0.14,0.02
19641123,0.11,-0.27,0.04,-0.38,-0.29,-0.19
19641124,0,-0.19,-0.46,-0.35,-0.23,-0.28
19641125,0.09,-0.11,0.32,0.09,-0.23,-0.23
19641127,-0.13,-0.17,0.08,-0.27,-0.45,-0.13
19641130,-0.93,-0.94,-0.93,-1.17,-0.77,-0.83
19641201,-1.02,-0.96,-0.82,-1.39,-1.02,-0.89
19641202,0.22,0.16,-0.02,0.2,0.49,0.21
19641203,0.54,0.23,0.34,0.49,0.48,0.28
19641204,0.04,0.24,0.25,0.11,0.24,0.14
19641207,-0.23,0.19,0.02,0.47,-0.1,0.02
19641208,-0.73,-0.51,-0.64,-0.72,-0.14,-0.34
19641209,-1.06,-1.01,-0.74,-0.64,-0.53,-0.78
19641210,0.1,-0.26,-0.26,-0.15,0.1,-0.12
19641211,0.57,0.22,0.17,0.15,0.2,0.25
19641214,-0.27,-0.24,0.01,-0.41,-0.31,-0.16
19641215,-0.45,-0.34,-0.58,-0.52,-0.32,-0.16
19641216,0.58,0.25,0.52,0.38,0.44,0.43
19641217,0.39,0.4,0.54,0.46,0.26,0.49
19641218,0.38,0.58,0.46,0.54,0.3,0.66
19641221,0.16,0.08,0.15,0.12,-0.07,0.25
19641222,-0.24,-0.17,0.09,-0.34,-0.04,0.11
19641223,-0.34,-0.16,-0.08,-0.23,-0.02,-0.34
19641224,0.38,0.25,0.31,0.3,-0.03,-0.07
19641228,-0.19,0.06,-0.25,-0.16,0.04,-0.2
19641229,-0.51,-0.36,-0.41,-0.28,-0.4,-0.17
19641230,0.56,0.43,0.35,0.45,0.57,0.7
19641231,0.45,0.26,0.33,0.46,0.4,0.65
19650104,0.23,0.09,0.01,-0.59,-0.3,-0.74
19650105,1.05,0.81,0.73,0.38,0.34,0.69
19650106,0.5,0.7,0.65,0.43,0.12,0.45
19650107,0.69,0.46,0.29,0.36,0.3,0.53
19650108,0.29,0.26,0.14,0.04,0.15,0.26
19650111,0.12,0.28,0.44,0.28,-0.07,0.11
19650112,0.45,0.31,1,0.65,0.22,0.21
19650113,0.66,0.52,0.19,0.51,0.2,0.3
19650114,0.08,0.17,0.21,0.13,-0.01,-0.02
19650115,0.31,0.26,0.48,0.55,0.31,0.48
19650118,0.18,0.19,0.29,0.22,0.29,0.39
19650119,-0.16,0.13,0,0.09,0.23,0.13
19650120,0,-0.19,-0.02,0.01,0,0
19650121,-0.12,0.01,0.22,-0.2,-0.24,0.11
19650122,0.34,0.28,0.39,0.13,-0.1,0.6
19650125,0.59,0.5,0.47,0.19,0.05,0.26
19650126,-0.03,0.21,-0.03,-0.01,0,0.31
19650127,0.27,0.15,0.53,0.31,0.11,0.54
19650128,0.1,0.19,0.48,0.61,0.05,0.36
19650129,0.63,0.35,0.26,0.07,0.05,0.27
19650201,0.16,0.07,0.25,0.22,0.04,0.04
19650202,0.06,0.18,0.04,0.1,0.04,0.09
19650203,0.21,0.35,0.29,0.3,0.08,0.17
19650204,0.27,0.15,0.3,-0.54,-0.33,0.42
19650205,0.17,0.09,-0.06,-0.69,-0.18,-0.23
19650208,-0.16,-0.34,-0.18,-0.26,-0.23,-0.38
19650209,0.57,0.51,0.45,0.64,0.11,0.45
19650210,-1.04,-0.68,-0.87,-1.22,-0.58,-0.95
19650211,-0.87,-0.67,-0.77,-1.32,-1.11,-0.82
19650212,1.11,0.82,1.33,1.11,0.53,0.71
19650215,0.38,0.13,0.43,0.01,0.02,-0.26
19650216,-0.09,0.06,0.06,-0.19,-0.29,-0.53
19650217,0.55,0.38,0.1,0.35,0.02,0.25
19650218,0.61,0.71,0.53,0.26,0.2,0.41
19650219,0.52,0.47,0.41,0.21,0.26,0.07
19650223,0.63,0.84,0.55,0.62,0.6,0.36
19650224,0.42,0.7,0.44,0.73,0.88,0.45
19650225,0.04,0.09,0.06,0.34,-0.09,0.18
19650226,0.07,0.33,0.45,0.19,0.08,0.5
19650301,0.3,-0.08,0.42,-0.37,-0.33,-0.07
19650302,0.39,0.34,0.43,0.31,0.06,0.25
19650303,0.03,0.19,0.61,-0.05,-0.03,-0.09
19650304,-0.2,-0.04,-0.17,-0.58,-0.22,-0.31
19650305,-0.09,-0.1,-0.13,-0.29,-0.2,-0.13
19650308,0.38,0.51,0.32,0.08,-0.06,0.07
19650309,-0.25,-0.16,-0.6,0.03,-0.17,-0.16
19650310,0.19,-0.02,0.03,0,-0.18,-0.09
19650311,0.4,0.51,0.48,0.23,0.28,0.6
19650312,0.42,0.11,0.42,0.21,0.2,0.48
19650315,0.1,0.28,0.14,-0.13,0,0.24
19650316,0.09,-0.1,-0.19,-0.28,0.15,-0.32
19650317,-0.18,0.14,-0.19,0.07,-0.1,-0.21
19650318,-0.19,-0.11,0.05,-0.15,-0.39,-0.16
19650319,0.14,-0.06,-0.18,-0.17,0.11,-0.04
19650322,0.12,-0.03,0.04,-0.16,0.11,-0.12
19650323,-0.15,0.12,0.19,0.28,0.05,0
19650324,0.48,0.21,0.14,0.3,0.17,0.2
19650325,-0.23,0.04,-0.1,-0.33,-0.23,-0.36
19650326,-0.59,-0.77,-0.58,-0.79,-0.37,-1
19650329,-0.55,-0.66,-0.68,-0.36,-0.1,-0.24
19650330,0.33,0.2,0.24,0.68,0.02,0.2
19650331,0.34,0.42,0.06,0.44,-0.14,-0.01
19650401,0.25,0.14,0.33,0.05,0.22,0.2
19650402,0.48,0.42,0.24,0.17,0.18,0.32
19650405,0.03,-0.15,0.1,-0.33,-0.16,0.3
19650406,0.1,-0.08,0.05,0.26,-0.07,-0.04
19650407,0.01,0.34,0.26,0.3,0.01,0.06
19650408,0.91,0.74,0.63,0.63,0.41,0.62
19650409,0.64,0.8,0.49,0.7,0.41,0.73
19650412,0.49,0.52,0.08,0.5,0.45,0.51
19650413,0.41,-0.08,0.36,-0.07,-0.04,0.37
19650414,0.11,0.22,0.37,0.19,0.18,0.24
19650415,0.28,0.41,0.15,-0.01,-0.2,-0.01
19650419,0.38,0.31,0.24,0.58,0.18,0.58
19650420,0.13,0.2,-0.11,-0.25,0.19,-0.19
19650421,-0.22,-0.26,-0.16,-0.23,0.02,-0.47
19650422,0.2,0.39,0.32,0.33,0.66,0.39
19650423,0.12,0.32,0.37,0.14,0.05,0.22
19650426,0.39,-0.05,0.08,-0.02,-0.02,0.04
19650427,-0.01,0.2,0.14,-0.02,0.16,0.23
19650428,-0.07,-0.26,-0.29,0.03,-0.01,-0.03
