Dow Jones,S&P 500,NASDAQ
18098.94,2132.55,5213.33
18138.38,2132.98,5214.16
18086.4,2126.5,5199.82
18161.94,2139.6,5243.84
18202.62,2144.29,5246.41
18162.35,2141.34,5241.83
18145.71,2141.16,5257.4
18223.03,2151.33,5309.83
18169.27,2143.16,5283.4
18199.33,2139.43,5250.27
18169.68,2133.04,5215.97
18161.19,2126.41,5190.1
18142.42,2126.15,5189.13
18037.1,2111.72,5153.58
17959.64,2097.94,5105.57
17930.67,2088.66,5058.41
17888.28,2085.18,5046.37
18259.6,2131.52,5166.17
18332.74,2139.56,5193.49
18589.69,2163.26,5251.07
18807.88,2167.48,5208.8
18847.66,2164.45,5237.11
18868.69,2164.2,5218.4
18923.06,2180.39,5275.62
18868.14,2176.94,5294.58
18903.82,2187.12,5333.97
18867.93,2181.9,5321.51
18956.69,2198.18,5368.86
19023.87,2202.94,5386.35
19083.18,2204.72,5380.68
,,
19152.14,2213.35,5398.92
19097.9,2201.72,5368.81
19121.6,2204.66,5379.92
19123.58,2198.81,5323.68
19191.93,2191.08,5251.11
19170.42,2191.95,5255.65
19216.24,2204.71,5308.89
19251.78,2212.23,5333.0
19549.62,2241.35,5393.76
19614.81,2246.19,5417.36
19756.85,2259.53,5444.5
19796.43,2256.96,5412.54
19911.21,2271.72,5463.83
19792.53,2253.28,5436.67
19852.24,2262.03,5456.85
19843.41,2258.07,5437.16
19883.06,2262.53,5457.44
19974.62,2270.76,5483.94
19941.96,2265.18,5471.43
19918.88,2260.96,5447.42
19933.81,2263.79,5462.69
,,
19945.04,2268.88,5487.44
19833.68,2249.92,5438.56
19819.78,2249.26,5432.09
19762.6,2238.83,5383.12
,,
19881.76,2257.83,5429.08
19942.16,2270.75,5477.0
19899.29,2269.0,5487.94
19963.8,2276.98,5521.06
19887.38,2268.9,5531.82
19855.53,2268.9,5551.82
19954.28,2275.32,5563.65
19891.0,2270.44,5547.49
19885.73,2274.64,5574.12
,,
19826.77,2267.89,5538.73
19804.72,2271.89,5555.65
19732.4,2263.69,5540.08
19827.25,2271.31,5555.33
19799.85,2265.2,5552.94
19912.71,2280.07,5600.96
20068.51,2298.37,5656.34
20100.91,2296.68,5655.18
20093.78,2294.69,5660.78
19971.13,2280.9,5613.71
19864.09,2278.87,5614.79
19890.94,2279.55,5642.65
19884.91,2280.85,5636.2
20071.46,2297.42,5666.77
20052.42,2292.56,5663.55
20090.29,2293.08,5674.22
20054.34,2294.67,5682.45
20172.4,2307.87,5715.18
20269.37,2316.1,5734.13
20412.16,2328.25,5763.96
20504.41,2337.58,5782.57
20611.86,2349.25,5819.44
20619.77,2347.22,5814.9
20624.05,2351.16,5838.58
,,
20743.0,2365.38,5865.95
20775.6,2362.82,5860.63
20810.32,2363.81,5835.51
20821.76,2367.34,5845.31
20837.44,2369.75,5861.9
20812.24,2363.64,5825.44
21115.55,2395.96,5904.03
21002.97,2381.92,5861.22
21005.71,2383.12,5870.75
20954.34,2375.31,5849.17
20924.76,2368.39,5833.93
20855.73,2362.98,5837.55
